Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
1100,CTXS,B+,"Citrix Systems, Inc. - Common Stock",96.506,-8.52,12/17/2020
1101,EOG,B+,"EOG Resources, Inc. Common Stock",96.496,28.35,12/16/2020
1102,ASND,B+,Ascendis Pharma A/S - American Depositary Shares,96.489,16.31,12/15/2020
1103,VEEV,B+,Veeva Systems Inc. Class A Common Stock,96.47,5.71,12/18/2020
1104,LILAK,B+,Liberty Global plc - Class C Ordinary Shares,96.462,71.51,12/18/2020
1105,SKYW,B+,"SkyWest, Inc. - Common Stock",96.456,26.86,12/15/2020
1106,ARGX,B+,argenx SE - American Depositary Shares,96.446,19.05,12/17/2020
1107,CL,B+,Colgate-Palmolive Company Common Stock,96.443,11.73,12/15/2020
1108,TIGO,B+,Millicom International Cellular S.A. - Common Sto,96.435,26.93,12/11/2020
1109,KKR,B+,KKR & Co. L.P. Common Units Representing Limited,96.434,-22.71,12/17/2020
1110,IBA,B+,"Industrias Bachoco, S.A.B. de C.V. Common Stock",96.426,12.37,11/24/2020
1111,CASY,B+,"Caseys General Stores, Inc. - Common Stock",96.412,4.55,12/16/2020
1112,BEN,B+,"Franklin Resources, Inc. Common Stock",96.41,18.81,12/12/2020
1114,ACHC,B+,"Acadia Healthcare Company, Inc. - Common Stock",96.384,69.75,11/3/2020
1113,appf,B+,"AppFolio, Inc. - Class A Common Stock",96.384,21.34,12/8/2020
1115,OSK,B+,Oshkosh Corporation (Holding Company)Common Stock,96.376,18.45,12/16/2020
1116,COP,B+,ConocoPhillips Common Stock,96.364,16.51,10/29/2020
1117,ARNC,B+,Arconic Inc. Common Stock,96.318,40.06,12/13/2020
1118,CBT,B+,Cabot Corporation Common Stock,96.316,3.31,12/1/2020
1119,DISCA,B+,"Discovery Communications, Inc. - Series A Common",96.315,14.23,12/16/2020
1120,WNS,B+,WNS (Holdings) Limited Sponsored ADR (Jersey),96.311,13.28,10/16/2020
1121,JD,B+,"JD.com, Inc. - American Depositary Shares",96.306,9.62,11/25/2020
1122,ESI,B+,Element Solutions Inc. Common Stock,96.301,54.11,12/11/2020
1123,WB,B+,Weibo Corporation - American Depositary Share,96.281,24.03,12/17/2020
1124,URI,B+,"United Rentals, Inc. Common Stock",96.278,32.05,12/6/2020
1125,LVS,B+,Las Vegas Sands Corp. Common Stock,96.255,16.03,12/15/2020
1126,olli,B+,"Ollie's Bargain Outlet Holdings, Inc. - Common St",96.255,-1.45,12/11/2020
1127,WU,B+,Western Union Company (The) Common Stock,96.213,3.69,11/21/2020
1128,ATKR,B+,Atkore International Group Inc. Common Stock,96.184,73.97,7/7/2020
1129,PAYC,B+,"Paycom Software, Inc. Common Stock",96.169,43.89,12/11/2020
1130,AQN,B+,Algonquin Power & Utilities Corp. Common Shares,96.145,14.14,12/11/2020
1131,PDCO,B+,"Patterson Companies, Inc. - Common Stock",96.132,37.24,12/17/2020
1132,ALGN,B+,"Align Technology, Inc. - Common Stock",96.131,61,11/17/2020
1133,qrvo,B+,"Qorvo, Inc. - Common Stock",96.109,24.47,12/8/2020
1134,WWW,B+,"Wolverine World Wide, Inc. Common Stock",96.102,16.96,12/14/2020
1135,UHS,B+,"Universal Health Services, Inc. Common Stock",96.091,16.74,12/6/2020
1136,CHNG,B+,Change Healthcare Inc. - Common Stock,96.068,24.3,11/25/2020
1137,DXCM,B+,"DexCom, Inc. - Common Stock",96.053,-7.79,12/6/2020
1138,EPD,B+,Enterprise Products Partners L.P. Common Stock,96.049,24.99,12/11/2020
1139,YUM,B+,"Yum! Brands, Inc.",96.026,18.21,11/20/2020
1140,JBHT,B+,"J.B. Hunt Transport Services, Inc. - Common Stock",96.017,5.56,11/26/2020
1141,SOGO,B+,"Sogou Inc. American Depositary Shares, each repre",96.004,-3.57,12/15/2020
1142,GGG,B+,Graco Inc. Common Stock,95.982,17.39,12/15/2020
1143,NWL,B+,Newell Brands Inc. Common Stock,95.972,13.26,12/2/2020
1144,FBP,B+,First BanCorp. New Common Stock,95.97,58.21,7/10/2020
1145,FOXA,B+,"Twenty-First Century Fox, Inc. - Class A Common S",95.933,-0.24,12/16/2020
1146,DVA,B+,DaVita Inc. Common Stock,95.929,21.67,11/1/2020
1147,AVTR,B+,"Avantor, Inc. Common Stock",95.908,23.58,12/13/2020
1148,COST,B+,Costco Wholesale Corporation - Common Stock,95.902,10.58,11/2/2020
1149,VRT,B+,"Vertiv Holdings, LLC Class A Common Stock",95.898,9.48,11/18/2020
1150,IBM,B+,International Business Machines Corporation Commo,95.897,2.28,12/1/2020
1151,ARW,B+,"Arrow Electronics, Inc. Common Stock",95.866,16.72,11/20/2020
1153,DIS,B+,Walt Disney Company (The) Common Stock,95.863,35.18,12/10/2020
1152,PXD,B+,Pioneer Natural Resources Company Common Stock,95.863,19.52,11/3/2020
1154,TREX,B+,"Trex Company, Inc. Common Stock",95.851,24.32,12/16/2020
1155,LH,B+,Laboratory Corporation of America Holdings Common,95.85,10.52,11/26/2020
1156,DG,B+,Dollar General Corporation Common Stock,95.839,-0.85,12/16/2020
1157,UPS,B+,"United Parcel Service, Inc. Common Stock",95.834,4.3,11/25/2020
1158,TRU,B+,TransUnion Common Stock,95.824,17.88,12/15/2020
1159,MMYT,B+,MakeMyTrip Limited - Ordinary Shares,95.816,53.18,12/13/2020
1160,PSN,B+,Parsons Corporation Common Stock,95.807,-0.25,12/12/2020
